section,kind,metric,value
summary,bots,count,50
summary,duration,seconds,300
summary,wall_clock,seconds,310
summary,stopped_early,flag,1
summary,verdict,pass,1
session,bots_launched,count,50
session,bots_entered,count,50
session,game_entries,count,350
session,enter_retries,count,0
session,relogs_completed,count,350
session,sessions_ended,count,350
session,players_died,count,0
session,ack_timeouts,count,0
session,socket_errors,count,0
session,unexpected_disconnects,count,0
session,err_login,count,0
session,err_enter,count,0
session,unmatched_acks,count,0
session,bag_queries_sent,count,350
session,bag_lists_received,count,114
session,items_picked_up,count,24
session,experience_updates,count,24
session,observed_deaths,count,460
session,ground_items_seen,count,1073
session,position_resyncs,count,0
action,turn,sent,2623
action,turn,good,2623
action,turn,fail,0
action,turn,timeout,0
action,turn,p50_ms,70.884
action,turn,p90_ms,91.448
action,turn,p99_ms,122.886
action,turn,max_ms,135.878
action,walk,sent,13533
action,walk,good,10622
action,walk,fail,2911
action,walk,timeout,0
action,walk,p50_ms,68.711
action,walk,p90_ms,90.962
action,walk,p99_ms,124.513
action,walk,max_ms,139.148
action,run,sent,5939
action,run,good,4185
action,run,fail,1754
action,run,timeout,0
action,run,p50_ms,68.692
action,run,p90_ms,91.040
action,run,p99_ms,125.367
action,run,max_ms,139.164
action,hit,sent,78
action,hit,good,78
action,hit,fail,0
action,hit,timeout,0
action,hit,p50_ms,61.332
action,hit,p90_ms,92.853
action,hit,p99_ms,134.719
action,hit,max_ms,134.719
action,pickup,sent,24
action,pickup,good,24
action,pickup,fail,0
action,pickup,timeout,0
action,pickup,p50_ms,66.609
action,pickup,p90_ms,95.295
action,pickup,p99_ms,124.112
action,pickup,max_ms,124.112
received,SM_WALK,count,395995
received,SM_TURN,count,163939
received,SM_RUN,count,150793
received,SM_DISAPPEAR,count,49949
received,SM_HIT,count,1939
received,SM_ITEMHIDE,count,1097
received,SM_ITEMSHOW,count,1073
received,SM_HEALTHSPELLCHANGED,count,977
received,SM_STRUCK,count,977
received,SM_DEATH,count,460
received,SM_HEAVYHIT,count,440
received,SM_LOGON,count,350
received,SM_NEWMAP,count,350
received,SM_MAPDESCRIPTION,count,350
received,SM_BIGHIT,count,157
received,SM_BAGITEMS,count,114
received,SM_ADDITEM,count,24
received,SM_WINEXP,count,24
